pack_filename,antsnet_original_filename,image_path,original_classes,provisional_castes,provisional_species_tokens,queen_present,worker_present,major_minor_present,brood_present,multi_ant,bbox_scale_category,near_duplicate_family_id,selection_reason,estimated_adult_annotations,original_annotation_count,original_brood_annotation_count
messor_barbarus_jpg.rf.9a5360a2991e94175446d4c5a0b19681.jpg,messor_barbarus_jpg.rf.9a5360a2991e94175446d4c5a0b19681.jpg,datasets/ants_v3_annotation_pack/antsnet/images/messor_barbarus_jpg.rf.9a5360a2991e94175446d4c5a0b19681.jpg,worker_major_messor_barbarus,worker_major,barbarus;messor,False,True,True,False,False,large_ge_ant2_median,messor_barbarus,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present,1,1,0
20201015_185828_jpg.rf.dc1bfb7eb6ce62f31bc07be4827f499b.jpg,20201015_185828_jpg.rf.dc1bfb7eb6ce62f31bc07be4827f499b.jpg,datasets/ants_v3_annotation_pack/antsnet/images/20201015_185828_jpg.rf.dc1bfb7eb6ce62f31bc07be4827f499b.jpg,worker_minor_camponotus,worker_minor,camponotus,False,True,True,False,True,medium_bridge_v2_to_ant2,20201015,adult bbox area materially larger than v2 small-ant median; major/minor caste class present,3,3,0
20201015_185843_jpg.rf.eb66861bf18d835af93236617619e158.jpg,20201015_185843_jpg.rf.eb66861bf18d835af93236617619e158.jpg,datasets/ants_v3_annotation_pack/antsnet/images/20201015_185843_jpg.rf.eb66861bf18d835af93236617619e158.jpg,worker_minor_camponotus,worker_minor,camponotus,False,True,True,False,True,small_le_v2_median,20201015,major/minor caste class present; small adult boxes comparable to v2 small-ant scale,4,4,0
PXL_20210213_104333581_jpg.rf.4f2ee52a91d2166d568c29f5fb78e934.jpg,PXL_20210213_104333581_jpg.rf.4f2ee52a91d2166d568c29f5fb78e934.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20210213_104333581_jpg.rf.4f2ee52a91d2166d568c29f5fb78e934.jpg,worker_pogonomyrmex_occidentalis,worker,occidentalis;pogonomyrmex,False,True,False,False,True,large_ge_ant2_median,pxl,14 labeled objects; adult bbox area reaches/exceeds ant2 median scale,14,14,0
PXL_20201231_072834451_jpg.rf.651e267b5b27e1d39699c03c66504d80.jpg,PXL_20201231_072834451_jpg.rf.651e267b5b27e1d39699c03c66504d80.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20201231_072834451_jpg.rf.651e267b5b27e1d39699c03c66504d80.jpg,worker_pogonomyrmex_occidentalis,worker,occidentalis;pogonomyrmex,False,True,False,False,True,large_ge_ant2_median,pxl,20 labeled objects; adult bbox area reaches/exceeds ant2 median scale,20,20,0
PXL_20201013_190238010-2_jpg.rf.5dfc475f225730757341e6b6ab608a7f.jpg,PXL_20201013_190238010-2_jpg.rf.5dfc475f225730757341e6b6ab608a7f.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20201013_190238010-2_jpg.rf.5dfc475f225730757341e6b6ab608a7f.jpg,worker_novomessor_cockerelli,worker,cockerelli;novomessor,False,True,False,False,False,large_ge_ant2_median,pxl_20201013,adult bbox area reaches/exceeds ant2 median scale,1,1,0
PXL_20210404_022730755-2_jpg.rf.5fdd3713fc44452816870fe82c529c99.jpg,PXL_20210404_022730755-2_jpg.rf.5fdd3713fc44452816870fe82c529c99.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20210404_022730755-2_jpg.rf.5fdd3713fc44452816870fe82c529c99.jpg,worker_formica_sp,worker,formica,False,True,False,False,False,large_ge_ant2_median,pxl_20210404,adult bbox area reaches/exceeds ant2 median scale,1,1,0
PXL_20210404_022729989-2_jpg.rf.137a9e16fc12d779db96ef53c9606579.jpg,PXL_20210404_022729989-2_jpg.rf.137a9e16fc12d779db96ef53c9606579.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20210404_022729989-2_jpg.rf.137a9e16fc12d779db96ef53c9606579.jpg,worker_formica_sp,worker,formica,False,True,False,False,False,large_ge_ant2_median,pxl_20210404,adult bbox area reaches/exceeds ant2 median scale,1,1,0
Pogo-rugo_jpg.rf.cf8ef6849dfeb599dfa4ad19b6d250b0.jpg,Pogo-rugo_jpg.rf.cf8ef6849dfeb599dfa4ad19b6d250b0.jpg,datasets/ants_v3_annotation_pack/antsnet/images/Pogo-rugo_jpg.rf.cf8ef6849dfeb599dfa4ad19b6d250b0.jpg,worker_pogonomyrmex_rugosus,worker,pogonomyrmex;rugosus,False,True,False,False,False,large_ge_ant2_median,pogo_rugo,adult bbox area reaches/exceeds ant2 median scale,1,1,0
dolichoderinae_jpg.rf.d33d2bf792f0a4bdf97e3ff71e4d9817.jpg,dolichoderinae_jpg.rf.d33d2bf792f0a4bdf97e3ff71e4d9817.jpg,datasets/ants_v3_annotation_pack/antsnet/images/dolichoderinae_jpg.rf.d33d2bf792f0a4bdf97e3ff71e4d9817.jpg,worker_dolichoderinae,worker,dolichoderinae,False,True,False,False,False,large_ge_ant2_median,dolichoderinae,adult bbox area reaches/exceeds ant2 median scale,1,1,0
PIC_0161_JPG.rf.12a05c01b7ee5d1023e1272df5afa3e3.jpg,PIC_0161_JPG.rf.12a05c01b7ee5d1023e1272df5afa3e3.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PIC_0161_JPG.rf.12a05c01b7ee5d1023e1272df5afa3e3.jpg,worker_lasius_niger,worker,lasius;niger,False,True,False,False,True,small_le_v2_median,pic,23 labeled objects; small adult boxes comparable to v2 small-ant scale,23,23,0
PIC_0163_JPG.rf.4967114187f8743455a5dd0f62224cb7.jpg,PIC_0163_JPG.rf.4967114187f8743455a5dd0f62224cb7.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PIC_0163_JPG.rf.4967114187f8743455a5dd0f62224cb7.jpg,worker_lasius_niger,worker,lasius;niger,False,True,False,False,True,small_le_v2_median,pic,28 labeled objects; small adult boxes comparable to v2 small-ant scale,28,28,0
IMG-20201001-WA0003_jpg.rf.94487368caaa4d8737ba61e7e6b8e62c.jpg,IMG-20201001-WA0003_jpg.rf.94487368caaa4d8737ba61e7e6b8e62c.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG-20201001-WA0003_jpg.rf.94487368caaa4d8737ba61e7e6b8e62c.jpg,queen_camponotus_vagus;worker_minor_camponotus_vagus,queen;worker_minor,camponotus;vagus,True,True,True,False,True,large_ge_ant2_median,img_20201001_wa0003,10 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,10,10,0
IMG-20201001-WA0002_jpg.rf.89aeb771d37a22f67742b522ec32e3a7.jpg,IMG-20201001-WA0002_jpg.rf.89aeb771d37a22f67742b522ec32e3a7.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG-20201001-WA0002_jpg.rf.89aeb771d37a22f67742b522ec32e3a7.jpg,queen_camponotus_vagus;worker_minor_camponotus_vagus,queen;worker_minor,camponotus;vagus,True,True,True,False,True,large_ge_ant2_median,img_20201001_wa0002,10 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,10,10,0
PA050409_JPG.rf.645da5c7946df4af983a89d8686cf197.jpg,PA050409_JPG.rf.645da5c7946df4af983a89d8686cf197.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PA050409_JPG.rf.645da5c7946df4af983a89d8686cf197.jpg,queen_camponotus_nicobarensis;worker_minor_camponotus_nicobarensis,queen;worker_minor,camponotus;nicobarensis,True,True,True,False,True,large_ge_ant2_median,pa050409,13 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,13,13,0
PA060434_JPG.rf.3737151c3863d2b7c7f69cb82b01c071.jpg,PA060434_JPG.rf.3737151c3863d2b7c7f69cb82b01c071.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PA060434_JPG.rf.3737151c3863d2b7c7f69cb82b01c071.jpg,queen_camponotus_cinctellus;worker_minor_camponotus_cinctellus,queen;worker_minor,camponotus;cinctellus,True,True,True,False,True,large_ge_ant2_median,pa060434,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,2,2,0
IMG_20200714_234333-2_jpg.rf.4df86039c52d2d695ffbba38447a73c4.jpg,IMG_20200714_234333-2_jpg.rf.4df86039c52d2d695ffbba38447a73c4.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG_20200714_234333-2_jpg.rf.4df86039c52d2d695ffbba38447a73c4.jpg,queen_camponotus_quercicola;worker_minor_camponotus_quercicola,queen;worker_minor,camponotus;quercicola,True,True,True,False,True,large_ge_ant2_median,img_20200714,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,3,3,0
PA060480_JPG.rf.51d6646d0151c31d0ecb1d35e4448841.jpg,PA060480_JPG.rf.51d6646d0151c31d0ecb1d35e4448841.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PA060480_JPG.rf.51d6646d0151c31d0ecb1d35e4448841.jpg,queen_camponotus_cinctellus;worker_minor_camponotus_cinctellus,queen;worker_minor,camponotus;cinctellus,True,True,True,False,True,large_ge_ant2_median,pa060480,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,3,3,0
campo-vicinus--3-_jpg.rf.1e27959b926d6d524399820fa678df19.jpg,campo-vicinus--3-_jpg.rf.1e27959b926d6d524399820fa678df19.jpg,datasets/ants_v3_annotation_pack/antsnet/images/campo-vicinus--3-_jpg.rf.1e27959b926d6d524399820fa678df19.jpg,queen_camponotus_vicinus;worker_minor_camponotus_vicinus,queen;worker_minor,camponotus;vicinus,True,True,True,False,True,large_ge_ant2_median,campo_vicinus,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,5,5,0
IMG_20200704_215353_jpg.rf.26902cdc9e4b9b7139654214795dd311.jpg,IMG_20200704_215353_jpg.rf.26902cdc9e4b9b7139654214795dd311.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG_20200704_215353_jpg.rf.26902cdc9e4b9b7139654214795dd311.jpg,queen_camponotus_quercicola;queen_camponotus_vicinus;worker_minor_camponotus_quercicola;worker_minor_camponotus_vicinus,queen;worker_minor,camponotus;quercicola;vicinus,True,True,True,False,True,large_ge_ant2_median,img,10 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,10,10,0
IMG_20200706_121654_jpg.rf.a163b3f5d9ca6ff66a25f8ca2f1447c5.jpg,IMG_20200706_121654_jpg.rf.a163b3f5d9ca6ff66a25f8ca2f1447c5.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG_20200706_121654_jpg.rf.a163b3f5d9ca6ff66a25f8ca2f1447c5.jpg,queen_camponotus_quercicola;queen_camponotus_vicinus;worker_minor_camponotus_quercicola;worker_minor_camponotus_vicinus,queen;worker_minor,camponotus;quercicola;vicinus,True,True,True,False,True,large_ge_ant2_median,img,11 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,11,11,0
IMG_20200710_221538_jpg.rf.7eb022008577b6666671d5a9c623fcbf.jpg,IMG_20200710_221538_jpg.rf.7eb022008577b6666671d5a9c623fcbf.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG_20200710_221538_jpg.rf.7eb022008577b6666671d5a9c623fcbf.jpg,qorker_minor_camponotus_maritimus;queen_camponotus_maritimus;queen_camponotus_quercicola;queen_camponotus_vicinus;worker_minor_camponotus_quercicola;worker_minor_camponotus_vicinus,queen;worker_minor;worker_minor_typo_qorker,camponotus;maritimus;quercicola;vicinus,True,True,True,False,True,large_ge_ant2_median,img,14 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,14,14,0
PA050408_JPG.rf.5926379d8f2ade13750705f781ea5012.jpg,PA050408_JPG.rf.5926379d8f2ade13750705f781ea5012.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PA050408_JPG.rf.5926379d8f2ade13750705f781ea5012.jpg,queen_camponotus_nicobarensis;worker_minor_camponotus_nicobarensis,queen;worker_minor,camponotus;nicobarensis,True,True,True,False,True,large_ge_ant2_median,pa050408,13 labeled objects; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,13,13,0
ants-5_jpg.rf.11b9011aad4282159486da5e94038387.jpg,ants-5_jpg.rf.11b9011aad4282159486da5e94038387.jpg,datasets/ants_v3_annotation_pack/antsnet/images/ants-5_jpg.rf.11b9011aad4282159486da5e94038387.jpg,worker_major_pheidole_tysoni,worker_major,pheidole;tysoni,False,True,True,False,False,large_ge_ant2_median,ants,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present,1,1,0
PXL_20210213_104329420_jpg.rf.745a8d66f424eb0000155081dae5c76b.jpg,PXL_20210213_104329420_jpg.rf.745a8d66f424eb0000155081dae5c76b.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20210213_104329420_jpg.rf.745a8d66f424eb0000155081dae5c76b.jpg,worker_pogonomyrmex_occidentalis,worker,occidentalis;pogonomyrmex,False,True,False,False,True,large_ge_ant2_median,pxl,14 labeled objects; adult bbox area reaches/exceeds ant2 median scale,14,14,0
PXL_20210213_104340498_jpg.rf.8a8d77e58a10320bff97f3462986c9fe.jpg,PXL_20210213_104340498_jpg.rf.8a8d77e58a10320bff97f3462986c9fe.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20210213_104340498_jpg.rf.8a8d77e58a10320bff97f3462986c9fe.jpg,worker_pogonomyrmex_occidentalis,worker,occidentalis;pogonomyrmex,False,True,False,False,True,large_ge_ant2_median,pxl,15 labeled objects; adult bbox area reaches/exceeds ant2 median scale,15,15,0
PXL_20210324_014344257_jpg.rf.1345d6cef92526df4cef444dea360624.jpg,PXL_20210324_014344257_jpg.rf.1345d6cef92526df4cef444dea360624.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PXL_20210324_014344257_jpg.rf.1345d6cef92526df4cef444dea360624.jpg,worker_pogonomyrmex_occidentalis,worker,occidentalis;pogonomyrmex,False,True,False,False,True,large_ge_ant2_median,pxl,22 labeled objects; adult bbox area reaches/exceeds ant2 median scale,22,22,0
20201015_185832_jpg.rf.310292f0864827d15dcc0fcb521ba5dc.jpg,20201015_185832_jpg.rf.310292f0864827d15dcc0fcb521ba5dc.jpg,datasets/ants_v3_annotation_pack/antsnet/images/20201015_185832_jpg.rf.310292f0864827d15dcc0fcb521ba5dc.jpg,worker_minor_camponotus,worker_minor,camponotus,False,True,True,False,True,medium_bridge_v2_to_ant2,20201015,major/minor caste class present,5,5,0
20201015_185838_jpg.rf.cf650d2b933beb82d408e64b7ec2e8c8.jpg,20201015_185838_jpg.rf.cf650d2b933beb82d408e64b7ec2e8c8.jpg,datasets/ants_v3_annotation_pack/antsnet/images/20201015_185838_jpg.rf.cf650d2b933beb82d408e64b7ec2e8c8.jpg,worker_minor_camponotus,worker_minor,camponotus,False,True,True,False,True,medium_bridge_v2_to_ant2,20201015,major/minor caste class present,6,6,0
PIC_0162_JPG.rf.2c36aacce0dee62f865027930fa061d2.jpg,PIC_0162_JPG.rf.2c36aacce0dee62f865027930fa061d2.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PIC_0162_JPG.rf.2c36aacce0dee62f865027930fa061d2.jpg,worker_lasius_niger,worker,lasius;niger,False,True,False,False,True,medium_bridge_v2_to_ant2,pic,24 labeled objects,24,24,0
